title,link,problem,description
Cobrança indevida,/claro/cobranca-indevida_T1CYGOYSZNTs1n-3/,Cobrança indevida,
Cobrança indevida,/claro/cobranca-indevida_SjlfHnzsQ6W7KVee/,Cobrança indevida,
Recarga por aplicativo da claro,/claro/recarga-por-aplicativo-da-claro_8WMAcH4bgPPZf1Z3/,Cobrança indevida,
Cobrança duplicada,/claro/cobranca-duplicada__97YKYI-f-o1AkRd/,Cobrança indevida,
EMPRESA CLARO MOVEL NÃO ESTÁ CREDITANDO RECARGAS VIA PIX ESTÁ INDO PARA OUTRA EMPRESA,/claro/empresa-claro-movel-nao-esta-creditando-recargas-via-pix-esta-indo-para-out_AWbRG-0Wo7u4uzNu/,Cobrança indevida,
Cúmulo do absurdo,/claro/cumulo-do-absurdo_0uzPJyAOfUHafKKv/,Cobrança indevida,
Falta de respeito,/claro/falta-de-respeito_3qF2NXEpV8TYlo32/,Cobrança indevida,
Cobranças [Editado pelo Reclame Aqui],/claro/cobrancas_pM_WuHpKBZATC9e-/,Cobrança indevida,
Cancelamento plano controle,/claro/cancelamento-plano-controle_YK1ybZhKUJu2MC1E/,Cobrança indevida,
"Fatura de 648 reais, cobrança errada sem oferecer solução",/claro/fatura-de-648-reais-cobranca-errada-sem-oferecer-solucao_e7QqA4R5a2Fl4lYH/,Cobrança indevida,
"Fatura de 648 reais, cobrança errada sem oferecer solução",/claro/fatura-de-648-reais-cobranca-errada-sem-oferecer-solucao_e7QqA4R5a2Fl4lYH/,Cobrança indevida,
Cobrança indevida,/claro/cobranca-indevida_2hi-V_cUuz1AdXgj/,Cobrança indevida,
"Solicitei um plano da Claro, não fizeram o plano e agora estão me cobrando.",/claro/solicitei-um-plano-da-claro-nao-fizeram-o-plano-e-agora-estao-me-cobrando_VcFMMn9LAijXpknj/,Cobrança indevida,
Valor indevido cobrado,/claro/valor-indevido-cobrado_wgooL9RHObwwQB_F/,Cobrança indevida,
FIDELIDADE CLARO,/claro/fidelidade-claro_R6CidWxLPzyHxEw-/,Cobrança indevida,
Multa de fidelidade,/claro/multa-de-fidelidade_bpa0eCVMn1nm-E6P/,Cobrança indevida,
COBRANÇA INDEVIDA,/claro/cobranca-indevida_L1uHx4wvG1Zdj_iZ/,Cobrança indevida,
COBRANÇA DE MULTA INDEVIDA,/claro/cobranca-de-multa-indevida_3bos37K6qF13pUyc/,Cobrança indevida,
Venda irregular de linhas móveis,/claro/venda-irregular-de-linhas-moveis_OcxfXv_iL6rNZA8h/,Cobrança indevida,
COBRANÇA INDEVIDA,/claro/cobranca-indevida_XioUWY7Q5CiN-Mj0/,Cobrança indevida,
"APP Claro Cobra Duplicado, atendente disse que não tem o que fazer.",/claro/app-claro-cobra-duplicado-atendente-disse-que-nao-tem-o-que-fazer_wVaqrAoTk3QBUOqG/,Cobrança indevida,
Faturas Variáveis Inconsistências Financeiras Geram Frustração e Descontentamento,/claro/faturas-variaveis-inconsistencias-financeiras-geram-frustracao-e-descontent_MWPAP-9YOSwpw1LV/,Cobrança indevida,
Fatura com valor absurdo,/claro/fatura-com-valor-absurdo_ffvd2PXMnruV4xFA/,Cobrança indevida,
Pagamento não computado/sem serviços,/claro/pagamento-nao-com-do-sem-servicos_p9ay4zflq3xyS-HL/,Cobrança indevida,
CONTA DE TELEFONIA MÓVEL ABUSIVA E FORA DE CONTEXTO,/claro/conta-de-telefonia-movel-abusiva-e-fora-de-contexto_P8u0gsfzci-xo7Qm/,Cobrança indevida,
PROPAGANDA ENGANOSA,/claro/propaganda-enganosa_7rqD_I_mzMrQqvIc/,Cobrança indevida,
