,Unnamed: 0,Title,link,description
0,0,Claro residência,/claro/claro-residencia_h-VgVeL0ez_dO42I/,"Estou há mais de 7 dias tentando efetuar a contratação do plano de internet e tv pela Claro, e toda hora surge um problema diferente. Efetuei a contratação do plano e quando o técnico chegou para instalar, o contrato constavam o nome de outra pessoa. A claro está alegando [Editado pelo Reclame Aqui], porém o erro é interno. Não tive respaldo de NINGUÉM e já deixaram claro que não há interesse nenhum em solucionarem o problema. Péssimo atendimento, a supervisora Katarina Silva entrou em contato e depois SUMIU, não me dando nenhum retorno também."
1,1,NO CONSIGO FALAR COM UM HUMANO,/claro/no-consigo-falar-com-um-humano_0kiSV_xg-r4R7MA-/,"Realizei o pagamento das faturas atrasadas e se passou o prazo para reativação, até aí normal, o que me deixou fula da vida foi simplesmente no conseguir atendimento em nenhum dos canais. Liguei e digitei todas as opções possíveis apenas para falar com um atendente, e a própria máquina desligava na minha cara. Agora estou aqui sem conseguir usar aplicativo, ligar ou mandar mensagens, estou incomunicável até para eles graças a eles. Não consigo mostrar que peguei e também não tenho linha ativa, o que faço? Tomo prejuízo de mais uma empresa multi milionária por falta de um simples suporte??? Espero que tenham gravado todas as vezes que liguei para resolver, eu gravei e vou atrás dos meus direitos!"
2,2,Oi virou claro e não recebe ligações!!!,/claro/oi-virou-claro-e-nao-recebe-ligacoes_MGLOn30IWxNKww6s/,"Minha mãe tinha um chip da Oi que virou Claro automaticamente .Há uns 30 dias que o celular simplesmente não recebe ligações. Dá que está desligado. Ele liga para as pessoas, mas NÃO RECEBE LIGAÇÕES!Depois de várias tentativas frustradas de falar no atendimento da Claro, me foi informado que por o chip ser da Oi, teria que ser trocado pelo da Claro. Mas somente em loja física, e a mais perto da minha cidade fica a 110km!!Fui tentar fazer portabilidade e não consigo. Porque??? Pq o aparelho não recebe SMS já que está aparentemente desligado!!Um verdadeiro absurdo. Vou no procon e procurar meus direitos!"
3,3,Mudança de plano sem a minha autorização,/claro/mudanca-de-plano-sem-a-minha-autorizacao_LfCJnrKfeO3Tr4RV/,"Na sexta-feira dia 6 de outubro fiz uma recarga de 20 reais, sempre que eu realizo a recarga o prezão ativa automaticamente, porém esse mês eu percebi hoje! Depois de 2 dias que está sendo descontado por dia a minha internet, e quando fui ver direitinho o que tinha acontecido, está la que meu plano de 24,99 reais não foi ativa, sendo que ninguém nem me avisou sobre a mudança do plano ou o que iria acontecer, no mês passado estava sendo descontado 19,99 reais certinho, ai chega esse mês e acontece isso, e ainda por cima estou com apenas R$ 13,53."
4,4,Plano PREZAO,/claro/plano-prezao_iW3NARVJ71tk_jVM/,"Bom diaNa data de 08/10/2023, recebi um SMS informando que precisava efetuar uma recarga de 19,99 para renovação do meu plano PREZAO da claro , no dia 09/10/2023 efetuei uma recarga no valor de 20,00 . Após efetuar a recarga recebi uma SMS informando que meu plano havia mudado para 24,99 , entrei em contato com a operadora, fui muito mal atendida por um pessoa que se dizia supervisora de nome Bianca , a pós explicar o ocorrido a mesma me tratou super mal e ainda desligou o telefone na minha cara, efetuei uma segunda ligação e fui atendida por Aline que informou que eu deveria desconsiderar o SMS e fazer uma recarga , eu passei pra ela a informação que a empresa não dá a opção de efetuar uma recarga menos de 15 reais se ela poderia me estornar o valor para que eu pudesse recarregar os 25 e ela fez descaso disse que não podia que eu tinha que colocar os 15, isso é uma falta de respeito com o consumidor, fiz a recarga mediante a informação que a própria operadora me passou e agora os mesmos não querem se responsabilizar querendo [Editado pelo Reclame Aqui] o cliente por erro que eles mesmo cometeram, quero que se resolva!"
5,5,CHIP queimado - pedido *******,/claro/chip-queimado-pedido_eLvdcLE1IyuO7EUl/,"Comprei um chip pré-pago para minha mãe online no dia 28/09 e a entregue foi realizada no dia 03/10 e para nossa surpresa, o chip não dando sinal, esperamos para ver se era questão de reconhecimento, porém nada. Tentei o contato por e-mail e do número 1052 porém fomos informadas que o chip está queimado e temos que ir até uma loja física. Gostaria de saber qual a lógica, pois se comprei on-line, é por falta de tempo e mesmo os custos de deslocamento etc.Gostaria de saber qual a solução para isso? Pois não consegui ir até a loja no fim de semana e não vou consegui ir tão cedo.O certo é o envio de um novo chip ou o cancelamento e devolução desse para a solicitação de um novo."
6,6,"Nada funciona, nem ouvidoria",/claro/nada-funciona-nem-ouvidoria_9Igz_fsfg9FthgcQ/,"Comprei um produto e veio outro, sem contato nos números 1052 ou 0800-7010180 e aqui não respondem também, ou seja, bela empresa hein ? Alo Anatel !!!"
7,7,Alteração de plano,/claro/alteracao-de-plano_DnKjFXXSmJskm8hq/,"Hoje, dia 09/10/2023 solicitei a alteração do meu plano controle ( foi uma dificuldade tremenda conseguir atendimento), depois de conseguir o atendimento, foi MUITO demorado, pois bem, estava tudo certo, alteração sendo feita, até que o atendente me disse que por um problema técnico não poderia fazer a alteração, que eu teria que aguardar até 5 dias úteis, pois coincidentemente o pacote do meu plano renova em 5 dias, e acontece que para fazer a alteração o atendente me informou que a próxima fatura viria com o valor do plano anterior, e só na segunda fatura iria vir o valor do plano novo, isso me parece [Editado pelo Reclame Aqui], e se o plano não for alterado antes da renovação desse a Claro irá perder um cliente que paga em dia suas faturas."
8,8,Não cancelam o morador anterio4,/claro/nao-cancelam-o-morador-anterio4_Qj61eNrzTmyK6hzT/,"Contratei a claro residencial net e o antigo morador solicitou cancelamento do plano em agosto de 2022 e reiterou em outubro de 2023. Enquanto a claro não cancela eu não consigo instalar a nova internet da claro que já contratei desde o dia que me mudei, 5/10/23"
9,9,MINHA PORTABILIDADE NÃO FOI FINALIZADA,/claro/minha-portabilidade-nao-foi-finalizada_4vN38Ww4SGY0NiMw/,"Solicitei a portabilidade no dia 20/09, de inicio ela foi rejeitada pois ainda tinha o o plano na Vivo. Posteriormente cancelei o plano e solicitei a portabilidade novamente e a mesma não foi finalizada. Verifiquei com diversos atendentes e eles sempre falavam que eu deveria aguardar. Já fazem mais de 15 dias que estou sem o meu numero de costume e nada dela ser finalizada. Preciso do número original para trabalhar e não consigo um retorno referente a portabilidade."
