title,link,problem
Cobrança de Multa indevida no Serasa,/oi-movel-fixo-tv/cobranca-de-multa-indevida-no-serasa_KZQ411EssiXbxJaM/,Cobrança indevida
Dívida negativada,/oi-movel-fixo-tv/divida-negativada_PwM34S_bvW6VKkSQ/,Cobrança indevida
COBRANÇA OI,/oi-movel-fixo-tv/cobranca-oi_SRq5Rr55Wg2Ca0wP/,Cobrança indevida
Cobrança Indevida,/oi-movel-fixo-tv/cobranca-indevida_LUNGVtuse_Cg8AZ5/,Cobrança indevida
Cobrança indevida,/oi-movel-fixo-tv/cobranca-indevida_LOdJslXl2EJ-YP_H/,Cobrança indevida
Cobrança indevida,/oi-movel-fixo-tv/cobranca-indevida_fV-NKC2bZQaed2rV/,Cobrança indevida
Cobrança Indevida,/oi-movel-fixo-tv/cobranca-indevida_hwdXk5dEepfpW2et/,Cobrança indevida
Meu nome está no Serasa e não consigo acessar a conta pra pagar,/oi-movel-fixo-tv/meu-nome-esta-no-serasa-e-nao-consigo-acessar-a-conta-pra-pagar_pzz4AFU1uPDDYM33/,Cobrança indevida
Oi tv livre,/oi-movel-fixo-tv/oi-tv-livre_JKHGPX0P9APDNyob/,Cobrança indevida
Cobrança indevida,/oi-movel-fixo-tv/cobranca-indevida_6FGAA3AgFV6MaN2l/,Cobrança indevida
"Dívida inexistente descoberta após ""Proposta de acordo"" via Serasa",/oi-movel-fixo-tv/divida-inexistente-descoberta-apos-proposta-de-acordo-via-serasa_6cOfsdXtxf2RXf7d/,Cobrança indevida
Cobranças indevida,/oi-movel-fixo-tv/cobrancas-indevida_tqgs0TOE0RQjcCjZ/,Cobrança indevida
A oi está me cobrando a mais de 8 anos.,/oi-movel-fixo-tv/a-oi-esta-me-cobrando-a-mais-de-8-anos_Foh2_IwyaRcpiZf7/,Cobrança indevida
DÍVIDA NO MEU CNPJ DE UM PLANO QUE NUNCA TIVE,/oi-movel-fixo-tv/divida-no-meu-cnpj-de-um-plano-que-nunca-tive_Uwb_BVzyl-G7MXNO/,Cobrança indevida
Uso indevido,/oi-movel-fixo-tv/uso-indevido_2T0RTDD7TGdH7ylp/,Cobrança indevida
Conta em atraso que não saiu do meu CPF,/oi-movel-fixo-tv/conta-em-atraso-que-nao-saiu-do-meu-cpf_yo17HTGDYN7Ut-Ri/,Cobrança indevida
COBRANÇA INDEVIDA DA OPERADORA OI,/oi-movel-fixo-tv/cobranca-indevida-da-operadora-oi_G83OeyhFqTaP72t-/,Cobrança indevida
Débito não reconhecido,/oi-movel-fixo-tv/debito-nao-reconhecido_4Uda6PlCCgE-MZGK/,Cobrança indevida
Cobrança indevida,/oi-movel-fixo-tv/cobranca-indevida_khoToRQFA9KtI2yH/,Cobrança indevida
Cobrança indevida,/oi-movel-fixo-tv/cobranca-indevida_nNvp9TO3YJYJqAHy/,Cobrança indevida
