title,link,problem
Cobrança após cancelamento,/tim-celular/cobranca-apos-cancelamento_6IRnXBCZo7fpCv1w/,Cobrança indevida
Aumento no valor da fatura,/tim-celular/aumento-no-valor-da-fatura_uvubHZY005pK8Kql/,Cobrança indevida
Cobrança indevida,/tim-celular/cobranca-indevida_23fvyGT5TCydDhQJ/,Cobrança indevida
"Cobrança  a + sem explicação,",/tim-celular/cobranca-a-sem-explicacao_krVspD5JOWdQ2PdZ/,Cobrança indevida
Cobrada por um número cancelado,/tim-celular/cobrada-por-um-numero-cancelado_trwg2XTa68swCkYn/,Cobrança indevida
TODO MÊS MINHA FATURA VEM COBRANDO VALORES ABSURSOS NÃO CONTRATADOS,/tim-celular/todo-mes-minha-fatura-vem-cobrando-valores-absursos-nao-contratados_0Iu8L4NlQGsLBf-w/,Cobrança indevida
Cobrança de serviço,/tim-celular/cobranca-de-servico_28AgKUKWK4QI3SUO/,Cobrança indevida
Cancelamento do plano TIM Pré Top One que não foi solicitad,/tim-celular/cancelamento-do-plano-tim-pre-top-one-que-nao-foi-solicitad_aec5lWcIe8JheBzp/,Cobrança indevida
"Tentei fazer portabilidade e plano, não foi aprovado mas foi cobrado no cartão",/tim-celular/tentei-fazer-portabilidade-e-plano-nao-foi-aprovado-mas-foi-cobrado-no-car_oYMa5u8xskLaV9Q1/,Cobrança indevida
Reajuste no valor do plano sem avisar,/tim-celular/reajuste-no-valor-do-plano-sem-avisar_me_ZwuBYQ-LJvV6R/,Cobrança indevida
Aumento do valor da fatura repentinamente sem aviso prévio,/tim-celular/aumento-do-valor-da-fatura-repentinamente-sem-aviso-previo_y0uRPj7yxqZgpign/,Cobrança indevida
COBRANÇA DE MULTA,/tim-celular/cobranca-de-multa_xNPURPglSxhcsfF3/,Cobrança indevida
"Atendente falou que não ia aumentar, mas aumentou",/tim-celular/atendente-falou-que-nao-ia-aumentar-mas-aumentou_gMLt9egCEfV251vM/,Cobrança indevida
Cobrança Indevida,/tim-celular/cobranca-indevida_EcCPYPu0BY5QdP2l/,Cobrança indevida
Cobrança indevida!!!,/tim-celular/cobranca-indevida_76nfrVvDHUJ6bX4K/,Cobrança indevida
Cobrança indevida,/tim-celular/cobranca-indevida_PtVxGylkkYfBzvAi/,Cobrança indevida
Alteração de plano,/tim-celular/alteracao-de-plano_0S7RnTpXzEDNpWMp/,Cobrança indevida
Mau-Caratismo da Operadora,/tim-celular/mau-caratismo-da-operadora_U_HeY0OJcsfQ9m8D/,Cobrança indevida
Cobrança Indevida,/tim-celular/cobranca-indevida_YaidDfsbchvLDYtL/,Cobrança indevida
De Tim  para portabilidade para Claro,/tim-celular/de-tim-para-portabilidade-para-claro_iWaovXuvKQQY0NHY/,Cobrança indevida
Estão cobrando por um plano que eu não contratei,/tim-celular/estao-cobrando-por-um-plano-que-eu-nao-contratei_VbF_6BoOkH3WorlK/,Cobrança indevida
Plano efetuado na minha linha sem minha autorização,/tim-celular/plano-efetuado-na-minha-linha-sem-minha-autorizacao_yQlDLPqDdwdFA3ra/,Cobrança indevida
cobrança indevida,/tim-celular/cobranca-indevida_rJ5PgAovDC9E2RMS/,Cobrança indevida
Cobrança Indevida,/tim-celular/cobranca-indevida_JpaTNn9z_VR3Jf0B/,Cobrança indevida
COBRANÇA INDEVIDA,/tim-celular/cobranca-indevida_KuHAmb64NcZmct0B/,Cobrança indevida
PROBLEMA COM A CONFIRMAÇÃO DE PAGAMENTO,/tim-celular/problema-com-a-confirmacao-de-pagamento_Rmeyh830-v1iJCbt/,Cobrança indevida
Fiz a portabilidade há mais de quatro meses e a Tim fica ligando cobrando fatura,/tim-celular/fiz-a-portabilidade-ha-mais-de-quatro-meses-e-a-tim-fica-ligando-cobrando-f_AZBJ9y2mb_t-BKAc/,Cobrança indevida
Cobrança Indevida,/tim-celular/cobranca-indevida_4xml8N3QM8m2qNe8/,Cobrança indevida
Plano não contratado,/tim-celular/plano-nao-contratado_30RvGSSmwk0IyCZz/,Cobrança indevida
Cobrança indevida por não cancelamento,/tim-celular/cobranca-indevida-por-nao-cancelamento_PgR4UgB6GvBCW9LI/,Cobrança indevida
"sou CLIENTE TIM BLACK há anos , e estou decepcionado com essa empresa",/tim-celular/sou-cliente-tim-black-ha-anos-e-estou-decepcionado-com-essa-empresa_wOw_-Xh1bgk_ioen/,Cobrança indevida
Cobrança depois da solicitação de portabilidade,/tim-celular/cobranca-depois-da-solicitacao-de-portabilidade_osVjNsPam_9RJHi3/,Cobrança indevida
Cobrança indevida NOVAMENTE,/tim-celular/cobranca-indevida-novamente_s_VwjKOZF2CDrUWi/,Cobrança indevida
A tim me liga com ameaças,/tim-celular/a-tim-me-liga-com-ameacas_GCsQery2H3ZGtUGz/,Cobrança indevida
